dataset,dataset_key,model,model_display,shots,f1_score,accuracy,color,linestyle,marker
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,0,92.24724104048202,88.96551724137932,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,5,92.39766199978044,90.80459770114943,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,10,95.7129772870734,95.17241379310344,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,20,93.4682717511922,92.183908045977,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,30,90.356080274259,89.65517241379311,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,40,88.71754035576164,86.66666666666667,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,50,90.21892566782141,88.73563218390804,#9467bd,-,o
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,0,95.82507740285968,95.17241379310344,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,5,95.85555721261537,95.86206896551724,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,10,95.97048079461152,95.86206896551724,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,20,97.46939932916352,97.47126436781608,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,30,96.32183908045975,96.32183908045975,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,40,97.10842267837447,96.7816091954023,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,50,97.2245149261928,97.01149425287356,#8c564b,--,s
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,0,96.03764592899373,94.71264367816093,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,5,95.49073986477846,94.94252873563218,#1f77b4,-.,^
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,10,96.42444041137328,96.0919540229885,#1f77b4,-.,^
